status_id,machine_id,timestamp,temperature,vibration,operating_hours,previous_failures,days_since_maintenance,current_workload,failure_within_24h
48,M1,2025-11-15T14:00:00,52.2,2.02,4577.0,2,40.2,0.4,0
49,M1,2025-11-15T20:00:00,49.6,2.14,1242.0,0,78.0,0.39,0
50,M1,2025-11-16T02:00:00,67.0,1.46,237.8,0,73.6,0.63,0
51,M1,2025-11-16T08:00:00,56.9,2.42,899.4,2,72.9,0.59,0
52,M1,2025-11-16T14:00:00,76.7,1.49,3968.5,1,88.4,0.96,1
53,M1,2025-11-16T20:00:00,60.8,2.25,5530.8,1,61.3,0.37,0
54,M1,2025-11-17T02:00:00,78.0,2.33,1216.6,2,16.3,0.46,0
55,M1,2025-11-17T08:00:00,54.2,1.9,3137.8,2,17.8,0.31,0
56,M1,2025-11-17T14:00:00,68.2,2.44,4318.6,3,9.1,0.71,0
57,M1,2025-11-17T20:00:00,60.3,2.1,4346.4,1,75.7,0.7,0
58,M1,2025-11-18T02:00:00,56.2,1.69,2595.2,0,54.9,0.78,1
59,M1,2025-11-18T08:00:00,66.3,3.61,2059.2,1,40.1,0.87,0
60,M1,2025-11-18T14:00:00,74.3,2.51,4225.6,3,44.5,0.96,0
61,M1,2025-11-18T20:00:00,52.2,2.61,121.1,2,33.6,0.71,0
62,M1,2025-11-19T02:00:00,72.4,3.61,5060.0,1,49.0,0.51,1
63,M1,2025-11-19T08:00:00,76.4,3.23,428.0,1,43.7,0.63,0
64,M1,2025-11-19T14:00:00,69.5,2.76,399.3,2,5.8,0.38,0
65,M1,2025-11-19T20:00:00,68.6,1.47,1310.3,0,32.6,0.75,0
66,M1,2025-11-20T02:00:00,59.3,1.8,4098.4,1,26.5,0.52,0
67,M1,2025-11-20T08:00:00,74.6,2.3,850.8,1,25.3,0.48,0
68,M1,2025-11-20T14:00:00,67.5,1.66,4509.8,1,71.3,0.91,0
69,M1,2025-11-20T20:00:00,66.8,1.92,4253.2,2,62.0,0.92,0
70,M1,2025-11-21T02:00:00,57.2,3.3,1030.0,2,57.4,0.99,0
71,M1,2025-11-21T08:00:00,71.0,2.19,787.2,2,25.4,0.37,0
72,M1,2025-11-21T14:00:00,74.2,2.81,2940.8,4,27.8,0.93,1
73,M1,2025-11-21T20:00:00,76.0,2.65,4555.4,1,50.8,0.44,0
74,M1,2025-11-22T02:00:00,65.3,2.4,5956.7,4,36.2,0.88,0
75,M1,2025-11-22T08:00:00,73.6,2.55,3689.4,2,47.8,0.51,0
76,M1,2025-11-22T14:00:00,63.3,2.01,118.2,3,21.7,0.99,0
77,M1,2025-11-22T20:00:00,68.5,2.05,5518.6,3,2.6,0.54,0
78,M1,2025-11-23T02:00:00,73.0,3.24,385.5,2,64.3,0.83,0
79,M1,2025-11-23T08:00:00,66.2,1.46,304.6,1,36.7,0.74,0
80,M1,2025-11-23T14:00:00,56.7,2.02,4686.7,1,1.9,0.67,0
81,M1,2025-11-23T20:00:00,54.3,2.05,1611.4,1,18.1,0.3,0
82,M1,2025-11-24T02:00:00,63.5,3.06,1442.1,2,29.6,0.37,0
83,M1,2025-11-24T08:00:00,59.7,3.1,3525.4,0,4.2,0.35,0
84,M1,2025-11-24T14:00:00,60.1,3.19,149.2,0,36.5,0.68,0
85,M1,2025-11-24T20:00:00,60.4,3.95,4543.5,1,76.9,0.78,1
86,M1,2025-11-25T02:00:00,68.2,2.61,320.8,2,14.3,0.5,0
87,M1,2025-11-25T08:00:00,62.9,2.65,5305.1,5,18.9,0.42,0
88,M1,2025-11-25T14:00:00,74.1,3.76,4944.3,2,13.8,0.65,1
89,M1,2025-11-25T20:00:00,77.7,1.64,1559.1,2,86.7,0.3,0
90,M1,2025-11-26T02:00:00,64.9,1.55,5978.5,3,70.6,0.41,0
91,M1,2025-11-26T08:00:00,62.3,1.34,4464.0,2,77.9,0.75,0
92,M1,2025-11-26T14:00:00,70.7,3.22,4897.4,1,3.4,0.8,1
93,M1,2025-11-26T20:00:00,49.8,2.38,1455.8,0,70.4,0.71,0
94,M1,2025-11-27T02:00:00,74.6,3.8,1467.3,0,78.0,0.47,0
95,M1,2025-11-27T08:00:00,65.3,2.45,3663.6,3,43.6,0.57,0
96,M1,2025-11-27T14:00:00,66.9,2.97,319.5,3,80.4,0.76,0
97,M1,2025-11-27T20:00:00,70.1,2.91,1890.0,0,41.7,0.62,0
98,M1,2025-11-28T02:00:00,57.1,2.72,625.1,3,69.1,0.68,0
99,M1,2025-11-28T08:00:00,73.9,1.21,1154.1,3,39.2,0.66,0
100,M1,2025-11-28T14:00:00,68.5,1.66,1855.3,3,82.2,0.97,0
101,M1,2025-11-28T20:00:00,62.5,2.99,3837.2,2,81.7,0.71,1
102,M1,2025-11-29T02:00:00,67.6,2.7,3890.7,1,19.3,0.32,0
103,M1,2025-11-29T08:00:00,58.7,2.69,871.8,1,22.9,0.96,0
104,M1,2025-11-29T14:00:00,58.6,3.08,4398.9,0,51.2,0.93,0
105,M1,2025-11-29T20:00:00,63.3,1.68,1876.0,0,73.4,0.62,0
106,M1,2025-11-30T02:00:00,77.6,0.8,1533.7,2,34.5,0.84,0
107,M1,2025-11-30T08:00:00,73.0,3.17,5176.0,2,42.7,0.85,1
108,M1,2025-11-30T14:00:00,52.8,1.34,1976.0,3,81.5,0.62,0
109,M1,2025-11-30T20:00:00,67.8,2.74,5791.7,1,75.2,0.46,0
110,M1,2025-12-01T02:00:00,68.3,1.55,3536.3,4,18.3,0.76,0
111,M1,2025-12-01T08:00:00,57.1,3.1,5127.8,1,0.7,0.41,0
112,M1,2025-12-01T14:00:00,72.4,1.81,5797.5,0,43.6,0.86,0
113,M1,2025-12-01T20:00:00,59.7,1.15,3771.5,1,73.0,0.69,0
114,M1,2025-12-02T02:00:00,72.0,1.49,4715.8,1,51.7,0.32,0
115,M1,2025-12-02T08:00:00,74.5,1.91,1092.1,3,7.5,0.82,1
116,M1,2025-12-02T14:00:00,59.8,3.34,1325.4,1,80.3,0.86,1
117,M1,2025-12-02T20:00:00,59.4,2.07,140.1,1,53.2,1.0,0
118,M1,2025-12-03T02:00:00,59.1,4.21,5916.5,4,66.7,0.74,1
119,M1,2025-12-03T08:00:00,63.2,1.58,2490.5,0,24.7,0.51,0
120,M1,2025-12-03T14:00:00,65.7,1.61,1971.2,1,89.9,0.51,0
121,M1,2025-12-03T20:00:00,69.7,1.07,2795.2,1,43.5,0.6,0
122,M1,2025-12-04T02:00:00,74.0,3.34,501.2,3,17.1,0.41,0
123,M1,2025-12-04T08:00:00,76.3,2.99,2016.4,2,22.0,0.8,0
124,M1,2025-12-04T14:00:00,50.1,3.15,697.3,0,4.6,0.79,0
125,M1,2025-12-04T20:00:00,82.2,2.25,4402.2,2,68.9,0.87,0
126,M1,2025-12-05T02:00:00,74.7,0.28,4172.9,1,21.8,0.41,0
127,M1,2025-12-05T08:00:00,59.2,2.5,1955.1,1,37.2,0.5,0
128,M1,2025-12-05T14:00:00,65.5,1.8,4262.3,0,31.2,0.38,0
129,M1,2025-12-05T20:00:00,65.8,4.09,2791.3,0,27.9,0.96,1
130,M1,2025-12-06T02:00:00,55.7,2.93,857.1,2,65.4,0.42,0
131,M1,2025-12-06T08:00:00,74.7,3.26,1789.0,0,79.8,0.7,1
132,M1,2025-12-06T14:00:00,60.1,3.62,2904.7,1,40.0,0.75,0
133,M1,2025-12-06T20:00:00,76.2,2.48,4643.3,1,0.5,0.35,0
134,M1,2025-12-07T02:00:00,55.8,1.29,3856.8,0,35.3,0.73,0
135,M1,2025-12-07T08:00:00,70.4,1.41,5036.6,1,54.9,0.47,0
136,M1,2025-12-07T14:00:00,66.1,1.29,5492.6,2,72.2,0.52,0
137,M1,2025-12-07T20:00:00,49.6,4.31,3989.7,1,66.2,0.73,1
138,M1,2025-12-08T02:00:00,67.8,2.85,3818.2,3,25.3,0.56,0
139,M1,2025-12-08T08:00:00,81.9,1.46,1446.6,2,24.9,0.83,1
140,M1,2025-12-08T14:00:00,68.9,4.18,5426.4,2,22.8,0.79,1
141,M1,2025-12-08T20:00:00,67.4,3.02,3459.1,3,29.6,0.85,1
142,M1,2025-12-09T02:00:00,59.5,3.27,3121.4,1,14.5,0.51,0
143,M1,2025-12-09T08:00:00,59.2,1.95,5097.6,1,23.7,0.36,0
144,M1,2025-12-09T14:00:00,67.5,2.82,4484.4,1,59.1,0.96,1
145,M1,2025-12-09T20:00:00,52.3,2.67,4237.6,0,54.0,0.47,0
146,M1,2025-12-10T02:00:00,48.3,3.31,4128.5,0,63.3,0.41,0
147,M1,2025-12-10T08:00:00,84.4,3.3,2381.9,2,63.1,0.44,1
148,M1,2025-12-10T14:00:00,65.3,2.76,5670.1,1,5.4,0.88,0
149,M1,2025-12-10T20:00:00,57.3,3.73,1199.9,2,84.4,0.74,1
150,M1,2025-12-11T02:00:00,57.0,2.41,5608.4,2,24.2,1.0,0
151,M1,2025-12-11T08:00:00,61.0,1.49,2201.3,4,76.7,0.57,0
152,M1,2025-12-11T14:00:00,71.3,3.54,4332.3,2,5.0,0.66,0
153,M1,2025-12-11T20:00:00,78.5,2.97,2990.7,1,82.9,0.7,1
154,M1,2025-12-12T02:00:00,53.3,2.3,1516.7,0,66.0,0.97,0
155,M1,2025-12-12T08:00:00,64.3,2.3,788.1,1,43.9,0.52,0
156,M1,2025-12-12T14:00:00,72.9,2.88,1805.6,0,49.0,0.83,0
157,M1,2025-12-12T20:00:00,58.1,4.09,5016.6,2,26.1,0.52,0
158,M1,2025-12-13T02:00:00,55.5,1.62,3295.2,2,86.4,0.54,1
159,M1,2025-12-13T08:00:00,58.0,0.36,4931.3,0,73.8,0.33,0
160,M1,2025-12-13T14:00:00,68.0,3.53,534.8,3,55.9,0.73,0
161,M1,2025-12-13T20:00:00,64.5,2.99,5973.5,1,12.1,0.8,0
162,M1,2025-12-14T02:00:00,57.3,3.16,2183.0,3,30.3,0.33,0
163,M1,2025-12-14T08:00:00,58.3,1.79,2079.6,3,89.4,0.81,0
164,M1,2025-12-14T14:00:00,58.1,1.5,283.6,2,87.7,0.97,0
165,M1,2025-12-14T20:00:00,67.5,2.15,123.7,1,81.1,0.89,0
166,M1,2025-12-15T02:00:00,65.7,1.98,2227.3,2,30.3,0.42,0
167,M1,2025-12-15T08:00:00,58.8,2.34,3887.0,2,51.7,0.6,0
168,M1,2025-12-15T14:00:00,70.5,1.92,1306.0,4,12.7,0.82,0
169,M1,2025-12-15T20:00:00,68.7,1.1,3626.7,2,70.9,0.35,0
170,M1,2025-12-16T02:00:00,75.5,3.5,3072.4,0,20.2,0.62,0
171,M1,2025-12-16T08:00:00,74.6,3.08,5293.7,1,1.6,0.9,1
172,M1,2025-12-16T14:00:00,53.2,2.16,4188.7,1,45.3,0.83,0
173,M1,2025-12-16T20:00:00,46.5,1.29,2482.3,1,29.9,0.92,0
174,M1,2025-12-17T02:00:00,58.7,3.87,2236.0,2,12.7,0.74,0
175,M1,2025-12-17T08:00:00,62.1,1.99,553.5,1,80.9,0.98,0
176,M1,2025-12-17T14:00:00,83.7,3.2,361.8,0,1.9,0.62,0
177,M1,2025-12-17T20:00:00,54.3,1.84,2752.7,0,20.4,0.99,0
178,M1,2025-12-18T02:00:00,57.6,2.79,5924.1,1,3.8,0.35,0
179,M1,2025-12-18T08:00:00,65.7,2.2,1462.7,3,36.5,0.53,0
180,M1,2025-12-18T14:00:00,75.9,1.92,195.3,0,4.5,0.89,0
181,M1,2025-12-18T20:00:00,50.1,2.98,556.0,3,50.9,0.63,0
182,M1,2025-12-19T02:00:00,63.4,2.56,5455.9,1,36.6,0.78,0
183,M1,2025-12-19T08:00:00,87.1,1.76,981.9,3,68.1,0.96,1
184,M1,2025-12-19T14:00:00,58.2,2.76,694.5,2,23.1,0.82,0
185,M1,2025-12-19T20:00:00,66.0,1.7,3554.8,1,0.6,0.7,0
186,M1,2025-12-20T02:00:00,59.5,3.93,3843.8,1,83.1,0.63,1
187,M1,2025-12-20T08:00:00,84.7,4.12,4390.8,1,68.5,0.53,0
188,M1,2025-12-20T14:00:00,54.9,2.96,2544.8,3,15.9,0.69,0
189,M1,2025-12-20T20:00:00,58.3,2.12,3993.2,2,60.6,0.86,0
190,M1,2025-12-21T02:00:00,74.1,2.6,4523.7,2,74.7,0.38,0
191,M1,2025-12-21T08:00:00,61.7,3.86,2105.5,3,63.5,0.58,1
192,M1,2025-12-21T14:00:00,60.8,1.78,1865.0,0,82.1,0.9,0
193,M1,2025-12-21T20:00:00,61.3,3.19,3458.6,1,82.3,0.78,1
194,M1,2025-12-22T02:00:00,61.2,2.47,2470.8,4,69.7,0.57,0
195,M1,2025-12-22T08:00:00,64.3,2.21,4697.3,2,10.4,0.88,0
196,M1,2025-12-22T14:00:00,72.9,1.23,3728.7,3,72.8,0.42,1
197,M1,2025-12-22T20:00:00,64.5,3.6,413.0,0,48.4,0.34,0
198,M1,2025-12-23T02:00:00,70.4,3.59,1962.5,0,0.7,0.39,0
199,M1,2025-12-23T08:00:00,72.5,4.07,5604.9,1,24.2,0.89,0
200,M1,2025-12-23T14:00:00,82.7,2.85,4674.9,0,30.3,0.83,0
201,M1,2025-12-23T20:00:00,65.2,1.7,4693.6,0,29.4,0.43,0
202,M1,2025-12-24T02:00:00,59.3,1.69,3262.7,1,57.0,0.53,0
203,M1,2025-12-24T08:00:00,70.4,2.86,2452.1,2,7.3,0.35,0
204,M1,2025-12-24T14:00:00,76.6,3.23,5999.6,0,84.8,0.79,1
205,M1,2025-12-24T20:00:00,80.4,1.43,3602.6,0,22.0,0.94,0
206,M1,2025-12-25T02:00:00,62.4,2.32,2935.3,2,80.0,0.72,0
207,M1,2025-12-25T08:00:00,68.4,2.33,5216.3,4,54.5,0.86,0
208,M1,2025-12-25T14:00:00,62.8,1.15,2536.9,1,56.6,0.66,0
209,M1,2025-12-25T20:00:00,60.2,1.98,2359.9,2,77.4,0.92,0
210,M1,2025-12-26T02:00:00,58.4,4.49,506.9,2,5.0,0.35,1
211,M1,2025-12-26T08:00:00,69.2,1.69,1760.3,1,29.0,0.93,0
212,M1,2025-12-26T14:00:00,69.3,1.37,816.2,0,86.9,0.58,0
213,M1,2025-12-26T20:00:00,64.8,1.87,2813.9,1,79.6,0.85,0
214,M1,2025-12-27T02:00:00,73.4,3.6,4416.8,0,76.7,0.64,0
215,M1,2025-12-27T08:00:00,72.0,2.77,2368.4,3,56.0,0.96,0
216,M1,2025-12-27T14:00:00,66.7,2.96,821.0,1,54.6,0.33,0
217,M1,2025-12-27T20:00:00,69.5,3.18,3543.4,2,1.3,0.37,0
218,M1,2025-12-28T02:00:00,67.3,3.12,4976.9,3,45.8,0.84,1
219,M1,2025-12-28T08:00:00,60.0,2.76,4816.3,2,26.8,0.91,0
220,M1,2025-12-28T14:00:00,62.2,2.6,3077.9,3,79.2,0.85,0
221,M1,2025-12-28T20:00:00,69.3,3.62,2531.4,0,19.0,0.89,0
222,M1,2025-12-29T02:00:00,67.2,4.25,517.6,1,62.4,0.94,0
223,M1,2025-12-29T08:00:00,60.0,1.31,4682.3,2,6.4,0.79,0
224,M1,2025-12-29T14:00:00,76.5,3.02,409.8,2,82.1,0.88,0
225,M1,2025-12-29T20:00:00,71.1,2.96,3019.8,2,7.4,0.56,0
226,M1,2025-12-30T02:00:00,59.1,1.73,1318.5,2,52.3,0.55,0
227,M1,2025-12-30T08:00:00,64.5,2.02,5391.4,1,23.4,0.98,1
228,M1,2025-12-30T14:00:00,71.0,1.48,4683.7,1,44.0,0.89,0
229,M1,2025-12-30T20:00:00,71.4,2.27,3773.0,2,13.6,0.97,0
230,M1,2025-12-31T02:00:00,69.3,1.81,1054.8,1,43.1,0.85,0
231,M1,2025-12-31T08:00:00,64.5,2.73,5965.0,1,35.0,0.53,0
232,M1,2025-12-31T14:00:00,71.6,2.47,2840.6,1,4.9,0.56,0
233,M1,2025-12-31T20:00:00,62.9,3.62,3019.5,2,89.8,0.37,0
234,M1,2026-01-01T02:00:00,65.8,1.65,1085.1,1,66.7,0.76,0
235,M1,2026-01-01T08:00:00,53.4,1.33,3283.3,2,53.2,0.71,0
236,M1,2026-01-01T14:00:00,61.1,1.46,556.6,2,2.4,0.51,0
237,M1,2026-01-01T20:00:00,70.7,2.51,885.5,1,9.8,0.79,0
238,M1,2026-01-02T02:00:00,69.3,1.62,357.2,0,38.8,0.56,0
239,M1,2026-01-02T08:00:00,88.4,2.89,3498.7,3,57.3,0.95,1
240,M1,2026-01-02T14:00:00,67.8,3.92,3679.9,1,5.9,0.96,0
241,M1,2026-01-02T20:00:00,46.1,2.68,1740.2,1,44.8,0.96,0
242,M1,2026-01-03T02:00:00,82.6,3.32,3709.0,3,6.8,0.98,0
243,M1,2026-01-03T08:00:00,72.9,3.25,3256.2,2,62.4,0.42,1
244,M1,2026-01-03T14:00:00,60.1,2.11,5082.8,4,72.8,0.83,0
245,M1,2026-01-03T20:00:00,61.5,3.2,2281.3,3,70.2,0.53,1
246,M1,2026-01-04T02:00:00,70.4,1.96,2021.0,1,83.0,0.89,0
247,M1,2026-01-04T08:00:00,71.7,1.62,2345.5,1,89.4,0.31,0
248,M1,2026-01-04T14:00:00,62.2,2.63,3900.4,1,53.2,0.82,0
249,M1,2026-01-04T20:00:00,61.7,1.86,2078.7,2,46.8,0.96,0
250,M1,2026-01-05T02:00:00,70.2,3.29,4030.6,1,37.0,0.95,0
251,M2,2025-11-03T20:00:00,60.8,2.8,3327.3,3,10.3,0.96,0
252,M2,2025-11-04T02:00:00,74.6,2.07,2900.8,2,36.7,0.84,0
253,M2,2025-11-04T08:00:00,63.1,2.65,2842.6,0,2.4,0.68,0
254,M2,2025-11-04T14:00:00,68.4,1.45,5915.1,2,74.7,0.88,0
255,M2,2025-11-04T20:00:00,66.2,3.03,2711.4,2,89.1,0.43,1
256,M2,2025-11-05T02:00:00,61.2,1.33,1043.5,0,62.5,0.83,0
257,M2,2025-11-05T08:00:00,53.4,2.35,3762.8,1,80.9,0.69,0
258,M2,2025-11-05T14:00:00,68.7,0.54,5394.2,2,88.6,0.88,1
259,M2,2025-11-05T20:00:00,80.4,3.0,560.6,1,81.7,0.84,0
260,M2,2025-11-06T02:00:00,56.2,2.28,2130.7,4,55.7,0.66,0
261,M2,2025-11-06T08:00:00,67.9,1.08,2413.5,4,32.0,0.8,0
262,M2,2025-11-06T14:00:00,65.9,2.3,482.0,3,89.0,0.74,0
263,M2,2025-11-06T20:00:00,70.9,1.72,4095.8,1,28.5,0.71,0
264,M2,2025-11-07T02:00:00,55.9,1.94,4082.6,2,63.9,0.72,0
265,M2,2025-11-07T08:00:00,66.2,2.05,4940.4,2,9.7,0.42,0
266,M2,2025-11-07T14:00:00,61.2,3.09,4791.1,3,8.0,0.46,0
267,M2,2025-11-07T20:00:00,62.2,3.18,4033.7,1,25.7,0.56,0
268,M2,2025-11-08T02:00:00,68.9,2.55,4065.6,1,18.1,0.4,1
269,M2,2025-11-08T08:00:00,73.8,2.92,779.3,0,11.2,0.49,0
270,M2,2025-11-08T14:00:00,63.5,2.2,5978.1,1,44.6,0.46,0
271,M2,2025-11-08T20:00:00,66.2,2.85,5574.7,1,42.7,0.51,0
272,M2,2025-11-09T02:00:00,65.7,2.27,2007.0,1,32.8,0.77,0
273,M2,2025-11-09T08:00:00,80.7,3.09,5150.5,2,55.7,0.74,1
274,M2,2025-11-09T14:00:00,64.2,2.47,665.3,1,4.9,0.86,0
275,M2,2025-11-09T20:00:00,51.4,2.89,129.2,3,31.6,0.89,1
276,M2,2025-11-10T02:00:00,68.8,2.24,3618.4,0,51.8,0.56,0
277,M2,2025-11-10T08:00:00,62.4,1.79,3372.0,1,71.4,0.92,0
278,M2,2025-11-10T14:00:00,67.7,1.91,3948.7,0,87.9,0.71,0
279,M2,2025-11-10T20:00:00,75.9,3.49,5703.1,3,68.2,0.37,1
280,M2,2025-11-11T02:00:00,53.5,2.16,5738.4,0,24.2,0.93,0
281,M2,2025-11-11T08:00:00,74.0,3.58,5291.1,1,47.2,0.38,0
282,M2,2025-11-11T14:00:00,74.1,1.54,2683.3,1,85.2,0.59,0
283,M2,2025-11-11T20:00:00,65.1,4.44,4797.4,0,54.7,0.64,0
284,M2,2025-11-12T02:00:00,70.2,1.55,5203.1,1,57.9,0.82,0
285,M2,2025-11-12T08:00:00,65.2,3.45,1376.5,1,73.0,0.56,0
286,M2,2025-11-12T14:00:00,70.8,2.62,4973.1,1,66.0,0.84,0
287,M2,2025-11-12T20:00:00,75.9,3.28,1805.6,4,78.2,0.48,0
288,M2,2025-11-13T02:00:00,70.2,1.4,5122.3,1,60.2,1.0,1
289,M2,2025-11-13T08:00:00,73.2,2.78,2522.6,5,6.0,0.85,0
290,M2,2025-11-13T14:00:00,73.1,1.32,4529.7,0,39.1,0.68,0
291,M2,2025-11-13T20:00:00,65.1,3.04,4652.2,2,13.8,0.44,0
292,M2,2025-11-14T02:00:00,75.1,1.97,3735.7,0,32.2,0.9,0
293,M2,2025-11-14T08:00:00,58.1,1.6,5590.1,1,51.3,0.55,0
294,M2,2025-11-14T14:00:00,64.1,2.32,1214.0,2,76.7,0.87,1
295,M2,2025-11-14T20:00:00,67.2,1.06,776.6,2,65.2,0.51,0
296,M2,2025-11-15T02:00:00,62.4,3.64,3285.2,2,80.7,0.98,1
297,M2,2025-11-15T08:00:00,77.2,3.34,640.2,4,37.5,0.44,1
298,M2,2025-11-15T14:00:00,73.5,2.15,5800.2,1,26.9,0.36,0
299,M2,2025-11-15T20:00:00,60.9,3.2,2823.8,1,69.3,0.31,0
300,M2,2025-11-16T02:00:00,62.7,2.14,5647.0,3,3.3,0.88,0
301,M2,2025-11-16T08:00:00,59.0,0.7,4549.4,1,82.9,0.38,0
302,M2,2025-11-16T14:00:00,73.4,2.0,5496.4,2,7.4,0.55,0
303,M2,2025-11-16T20:00:00,66.3,2.64,5856.3,1,47.5,0.42,0
304,M2,2025-11-17T02:00:00,71.2,1.07,1531.1,0,34.5,0.61,0
305,M2,2025-11-17T08:00:00,62.7,3.16,1489.0,3,74.8,0.42,0
306,M2,2025-11-17T14:00:00,61.7,3.03,919.0,1,73.4,0.71,1
307,M2,2025-11-17T20:00:00,64.6,1.89,3285.4,2,41.8,0.83,0
308,M2,2025-11-18T02:00:00,74.3,1.67,2833.5,1,22.1,0.87,0
309,M2,2025-11-18T08:00:00,65.6,2.09,108.6,3,19.3,0.79,0
310,M2,2025-11-18T14:00:00,61.8,2.04,1353.9,1,56.5,0.81,0
311,M2,2025-11-18T20:00:00,62.5,2.72,2517.6,0,25.2,0.42,0
312,M2,2025-11-19T02:00:00,70.8,2.06,3129.4,1,29.0,0.39,0
313,M2,2025-11-19T08:00:00,55.7,1.99,2863.8,1,44.9,0.59,0
314,M2,2025-11-19T14:00:00,69.4,1.54,1242.5,1,68.4,0.98,0
315,M2,2025-11-19T20:00:00,63.4,2.73,1407.3,2,50.1,0.38,1
316,M2,2025-11-20T02:00:00,46.2,1.99,2079.7,1,8.8,0.44,0
317,M2,2025-11-20T08:00:00,61.9,1.89,1939.5,2,85.4,0.89,0
318,M2,2025-11-20T14:00:00,64.2,1.84,607.9,1,74.6,0.7,0
319,M2,2025-11-20T20:00:00,74.1,3.35,4702.4,0,66.0,0.68,1
320,M2,2025-11-21T02:00:00,61.7,2.54,2885.9,0,5.1,0.74,0
321,M2,2025-11-21T08:00:00,62.0,2.13,4324.2,1,36.9,0.68,0
322,M2,2025-11-21T14:00:00,52.2,1.84,5009.9,2,81.9,0.92,0
323,M2,2025-11-21T20:00:00,62.5,4.26,4355.7,1,57.6,0.96,0
324,M2,2025-11-22T02:00:00,73.5,2.76,1196.6,2,70.5,0.66,0
