operation_id,job_id,machine_id,start_time,end_time,start_h,end_h,setup_h,duration_h
J3-O3,J3,M6,2026-01-06T09:55:36.468693611,2026-01-06T11:29:05.268693611,25.5,27.06,0.0,1.56
J3-O4,J3,M8,2026-01-06T11:29:05.268693611,2026-01-06T14:59:59.268693611,27.06,30.57,0.0,3.52
J20-O2,J20,M6,2026-01-06T11:29:05.268693611,2026-01-06T11:51:24.468693611,27.06,27.43,0.0,0.37
J20-O3,J20,M7,2026-01-06T16:46:04.068693611,2026-01-06T17:22:36.468693611,32.34,32.95,0.0,0.61
J8-O1,J8,M1,2026-01-06T08:14:31.733259611,2026-01-06T09:07:12.533259611,23.81,24.69,0.0,0.88
J53-O1,J53,M1,2026-01-06T09:07:12.533259611,2026-01-06T10:47:17.333259610,24.69,26.36,0.0,1.67
J53-O2,J53,M4,2026-01-06T10:47:17.333259610,2026-01-06T12:12:14.933259610,26.36,27.78,0.0,1.42
J53-O3,J53,M5,2026-01-06T12:12:14.933259610,2026-01-06T13:29:17.333259610,27.78,29.06,0.0,1.28
J53-O4,J53,M8,2026-01-06T14:59:59.268693611,2026-01-06T16:46:00.468693611,30.57,32.34,0.0,1.77
J17-O1,J17,M2,2026-01-05T15:35:35.260637611,2026-01-05T17:54:11.260637611,7.17,9.48,0.0,2.31
J45-O1,J45,M2,2026-01-05T17:54:11.260637611,2026-01-05T22:17:42.460637611,9.48,13.87,0.0,4.39
J45-O2,J45,M3,2026-01-05T22:17:42.460637611,2026-01-06T01:17:06.460637611,13.87,16.86,0.0,2.99
J16-O1,J16,M1,2026-01-06T10:47:17.333259610,2026-01-06T11:20:13.733259610,26.36,26.91,0.0,0.55
J30-O1,J30,M2,2026-01-05T22:17:42.460637611,2026-01-05T23:38:46.060637611,13.87,15.22,0.0,1.35
J30-O2,J30,M3,2026-01-06T01:17:06.460637611,2026-01-06T02:17:13.660637610,16.86,17.86,0.0,1.0
J7-O1,J7,M1,2026-01-06T11:20:13.733259610,2026-01-06T12:42:25.733259611,26.91,28.28,0.0,1.37
J30-O3,J30,M6,2026-01-06T11:51:24.468693611,2026-01-06T12:34:47.268693611,27.43,28.15,0.0,0.72
J30-O4,J30,M8,2026-01-06T16:46:00.468693611,2026-01-06T18:02:44.868693611,32.34,33.62,0.0,1.28
J7-O2,J7,M5,2026-01-06T13:29:17.333259610,2026-01-06T14:35:17.333259610,29.06,30.16,0.0,1.1
J16-O2,J16,M3,2026-01-06T11:20:13.733259610,2026-01-06T11:49:16.133259610,26.91,27.39,0.0,0.48
J16-O3,J16,M7,2026-01-06T17:22:36.468693611,2026-01-06T17:59:01.668693611,32.95,33.56,0.0,0.61
J45-O3,J45,M6,2026-01-06T12:34:47.268693611,2026-01-06T14:31:11.268693611,28.15,30.09,0.0,1.94
J32-O1,J32,M2,2026-01-05T23:38:46.060637611,2026-01-06T01:29:24.460637611,15.22,17.06,0.0,1.84
J45-O4,J45,M8,2026-01-06T18:02:44.868693611,2026-01-06T22:42:31.668693611,33.62,38.28,0.0,4.66
J37-O1,J37,M2,2026-01-06T01:29:24.460637611,2026-01-06T02:27:22.060637611,17.06,18.03,0.0,0.97
J32-O2,J32,M6,2026-01-06T14:31:11.268693611,2026-01-06T15:21:42.468693611,30.09,30.93,0.0,0.84
J15-O1,J15,M2,2026-01-06T02:27:22.060637611,2026-01-06T04:50:13.660637611,18.03,20.41,0.0,2.38
J7-O3,J7,M7,2026-01-06T17:59:01.668693611,2026-01-06T19:35:05.268693611,33.56,35.16,0.0,1.6
J15-O2,J15,M4,2026-01-06T12:12:14.933259610,2026-01-06T14:04:52.133259610,27.78,29.65,0.0,1.88
J22-O1,J22,M2,2026-01-06T04:50:13.660637611,2026-01-06T06:45:14.860637611,20.41,22.33,0.0,1.92
J50-O1,J50,M1,2026-01-06T12:42:25.733259611,2026-01-06T13:08:35.333259610,28.28,28.72,0.0,0.44
J22-O2,J22,M6,2026-01-06T15:21:42.468693611,2026-01-06T16:13:58.068693610,30.93,31.8,0.0,0.87
J15-O3,J15,M8,2026-01-06T22:42:31.668693611,2026-01-07T01:22:11.268693611,38.28,40.94,0.0,2.66
J32-O3,J32,M8,2026-01-07T01:22:11.268693611,2026-01-07T03:07:04.068693611,40.94,42.69,0.0,1.75
J6-O1,J6,M1,2026-01-06T13:08:35.333259610,2026-01-06T14:01:48.533259611,28.72,29.6,0.0,0.89
J37-O2,J37,M4,2026-01-06T14:04:52.133259610,2026-01-06T14:51:07.733259611,29.65,30.42,0.0,0.77
J33-O1,J33,M2,2026-01-06T06:45:14.860637611,2026-01-06T11:49:23.260637611,22.33,27.4,0.0,5.07
J37-O3,J37,M7,2026-01-06T19:35:05.268693611,2026-01-06T20:32:48.468693611,35.16,36.12,0.0,0.96
J22-O3,J22,M7,2026-01-06T20:32:48.468693611,2026-01-06T22:31:04.068693611,36.12,38.09,0.0,1.97
J42-O1,J42,M2,2026-01-06T11:49:23.260637611,2026-01-06T12:53:06.460637611,27.4,28.46,0.0,1.06
J33-O2,J33,M4,2026-01-06T14:51:07.733259611,2026-01-06T18:52:41.333259611,30.42,34.45,0.0,4.03
J39-O1,J39,M2,2026-01-06T12:53:06.460637611,2026-01-06T14:10:16.060637611,28.46,29.74,0.0,1.29
J19-O1,J19,M2,2026-01-06T14:10:16.060637611,2026-01-06T16:07:08.860637611,29.74,31.69,0.0,1.95
J19-O2,J19,M6,2026-01-06T16:13:58.068693610,2026-01-06T17:03:38.868693611,31.8,32.63,0.0,0.83
J19-O3,J19,M8,2026-01-07T03:07:04.068693611,2026-01-07T05:05:26.868693611,42.69,44.66,0.0,1.97
J21-O1,J21,M1,2026-01-06T14:01:48.533259611,2026-01-06T15:46:55.733259610,29.6,31.35,0.0,1.75
J21-O2,J21,M3,2026-01-06T15:46:55.733259610,2026-01-06T17:09:07.733259610,31.35,32.72,0.0,1.37
J42-O2,J42,M6,2026-01-06T17:03:38.868693611,2026-01-06T17:32:30.468693611,32.63,33.11,0.0,0.48
J21-O3,J21,M5,2026-01-06T17:09:07.733259610,2026-01-06T18:27:40.133259610,32.72,34.03,0.0,1.31
J17-O2,J17,M5,2026-01-06T18:27:40.133259610,2026-01-06T19:57:29.333259610,34.03,35.53,0.0,1.5
J39-O2,J39,M4,2026-01-06T18:52:41.333259611,2026-01-06T19:54:04.133259611,34.45,35.47,0.0,1.02
J21-O4,J21,M8,2026-01-07T05:05:26.868693611,2026-01-07T06:59:55.668693611,44.66,46.57,0.0,1.91
J27-O1,J27,M1,2026-01-06T15:46:55.733259610,2026-01-06T18:16:23.333259610,31.35,33.85,0.0,2.49
J17-O3,J17,M7,2026-01-06T22:31:04.068693611,2026-01-07T01:07:36.468693611,38.09,40.7,0.0,2.61
J29-O1,J29,M1,2026-01-06T18:16:23.333259610,2026-01-06T21:27:04.133259610,33.85,37.02,0.0,3.18
J33-O3,J33,M6,2026-01-06T18:52:41.333259611,2026-01-06T21:18:14.933259611,34.45,36.88,0.0,2.43
J29-O2,J29,M3,2026-01-06T21:27:04.133259610,2026-01-06T23:51:00.533259610,37.02,39.42,0.0,2.4
J39-O3,J39,M6,2026-01-06T21:18:14.933259611,2026-01-06T21:58:12.533259610,36.88,37.54,0.0,0.67
J47-O1,J47,M2,2026-01-06T16:07:08.860637611,2026-01-06T17:27:00.460637611,31.69,33.02,0.0,1.33
J51-O1,J51,M1,2026-01-06T21:27:04.133259610,2026-01-06T22:06:54.533259610,37.02,37.69,0.0,0.66
J31-O1,J31,M2,2026-01-06T17:27:00.460637611,2026-01-06T19:03:00.460637611,33.02,34.62,0.0,1.6
J51-O2,J51,M5,2026-01-06T22:06:54.533259610,2026-01-06T22:41:17.333259610,37.69,38.26,0.0,0.57
J31-O2,J31,M3,2026-01-06T23:51:00.533259610,2026-01-07T01:02:56.933259610,39.42,40.62,0.0,1.2
J27-O2,J27,M4,2026-01-06T19:54:04.133259611,2026-01-06T22:02:24.533259611,35.47,37.61,0.0,2.14
J29-O3,J29,M6,2026-01-06T23:51:00.533259610,2026-01-07T01:29:56.933259610,39.42,41.07,0.0,1.65
J1-O1,J1,M1,2026-01-06T22:06:54.533259610,2026-01-06T22:59:35.333259610,37.69,38.57,0.0,0.88
J51-O3,J51,M8,2026-01-07T06:59:55.668693611,2026-01-07T07:43:07.668693611,46.57,47.29,0.0,0.72
J35-O1,J35,M1,2026-01-06T22:59:35.333259610,2026-01-07T00:44:10.133259611,38.57,40.31,0.0,1.74
J48-O2,J48,M6,2026-01-07T01:29:56.933259610,2026-01-07T02:38:35.333259610,41.07,42.22,0.0,1.14
J35-O2,J35,M4,2026-01-07T00:44:10.133259611,2026-01-07T02:12:29.333259611,40.31,41.78,0.0,1.47
J42-O3,J42,M7,2026-01-07T01:07:36.468693611,2026-01-07T02:10:50.868693611,40.7,41.75,0.0,1.05
J27-O3,J27,M6,2026-01-07T02:38:35.333259610,2026-01-07T03:57:04.133259611,42.22,43.52,0.0,1.31
J48-O3,J48,M7,2026-01-07T02:38:35.333259610,2026-01-07T05:12:22.133259611,42.22,44.78,0.0,2.56
J27-O4,J27,M7,2026-01-07T05:12:22.133259611,2026-01-07T08:17:06.533259610,44.78,47.86,0.0,3.08
J24-O1,J24,M2,2026-01-06T19:03:00.460637611,2026-01-06T22:30:58.060637611,34.62,38.09,0.0,3.47
J24-O2,J24,M6,2026-01-07T03:57:04.133259611,2026-01-07T05:24:00.533259610,43.52,44.97,0.0,1.45
J34-O1,J34,M1,2026-01-07T00:44:10.133259611,2026-01-07T03:23:31.733259611,40.31,42.96,0.0,2.66
J34-O2,J34,M3,2026-01-07T03:23:31.733259611,2026-01-07T05:30:50.933259610,42.96,45.09,0.0,2.12
J24-O3,J24,M7,2026-01-07T08:17:06.533259610,2026-01-07T11:39:04.133259611,47.86,51.22,0.0,3.37
J35-O3,J35,M7,2026-01-07T11:39:04.133259611,2026-01-07T13:37:55.733259611,51.22,53.2,0.0,1.98
J50-O2,J50,M5,2026-01-06T22:41:17.333259610,2026-01-06T23:11:06.533259610,38.26,38.76,0.0,0.5
J50-O3,J50,M8,2026-01-07T07:43:07.668693611,2026-01-07T08:13:07.668693611,47.29,47.79,0.0,0.5
J14-O1,J14,M1,2026-01-07T03:23:31.733259611,2026-01-07T05:38:38.933259611,42.96,45.22,0.0,2.25
J18-O1,J18,M1,2026-01-07T05:38:38.933259611,2026-01-07T06:40:48.533259611,45.22,46.25,0.0,1.04
J14-O2,J14,M6,2026-01-07T05:38:38.933259611,2026-01-07T06:41:17.333259610,45.22,46.26,0.0,1.04
J14-O3,J14,M8,2026-01-07T08:13:07.668693611,2026-01-07T10:50:41.268693610,47.79,50.42,0.0,2.63
J26-O1,J26,M2,2026-01-06T22:30:58.060637611,2026-01-06T23:48:25.660637611,38.09,39.38,0.0,1.29
J34-O3,J34,M5,2026-01-07T05:30:50.933259610,2026-01-07T07:19:05.333259611,45.09,46.89,0.0,1.8
J38-O1,J38,M2,2026-01-06T23:48:25.660637611,2026-01-07T02:02:49.660637611,39.38,41.62,0.0,2.24
J1-O2,J1,M4,2026-01-07T02:12:29.333259611,2026-01-07T02:55:19.733259611,41.78,42.49,0.0,0.71
J31-O3,J31,M6,2026-01-07T06:41:17.333259610,2026-01-07T07:34:34.133259611,46.26,47.15,0.0,0.89
J1-O3,J1,M8,2026-01-07T10:50:41.268693610,2026-01-07T11:47:08.868693611,50.42,51.36,0.0,0.94
J31-O4,J31,M8,2026-01-07T11:47:08.868693611,2026-01-07T13:27:20.868693611,51.36,53.03,0.0,1.67
J38-O2,J38,M4,2026-01-07T02:55:19.733259611,2026-01-07T04:29:02.933259610,42.49,44.06,0.0,1.56
J26-O2,J26,M3,2026-01-07T05:30:50.933259610,2026-01-07T06:27:04.133259611,45.09,46.02,0.0,0.94
J33-O4,J33,M8,2026-01-07T13:27:20.868693611,2026-01-07T18:39:38.868693611,53.03,58.23,0.0,5.21
J41-O1,J41,M1,2026-01-07T06:40:48.533259611,2026-01-07T07:43:48.533259610,46.25,47.3,0.0,1.05
J49-O1,J49,M2,2026-01-07T02:02:49.660637611,2026-01-07T04:10:55.660637611,41.62,43.75,0.0,2.13
J38-O3,J38,M5,2026-01-07T07:19:05.333259611,2026-01-07T08:37:19.733259611,46.89,48.19,0.0,1.3
J6-O2,J6,M3,2026-01-07T06:27:04.133259611,2026-01-07T07:15:00.533259610,46.02,46.82,0.0,0.8
J6-O3,J6,M8,2026-01-07T18:39:38.868693611,2026-01-07T19:37:40.068693611,58.23,59.2,0.0,0.97
J44-O1,J44,M2,2026-01-07T04:10:55.660637611,2026-01-07T06:32:31.660637611,43.75,46.11,0.0,2.36
J44-O2,J44,M5,2026-01-07T08:37:19.733259611,2026-01-07T10:03:54.533259610,48.19,49.64,0.0,1.44
J47-O2,J47,M3,2026-01-07T07:15:00.533259610,2026-01-07T08:15:18.533259610,46.82,47.83,0.0,1.0
J47-O3,J47,M6,2026-01-07T08:15:18.533259610,2026-01-07T08:56:17.333259610,47.83,48.51,0.0,0.68
J44-O3,J44,M8,2026-01-07T19:37:40.068693611,2026-01-07T22:14:55.668693611,59.2,61.82,0.0,2.62
J49-O2,J49,M6,2026-01-07T08:56:17.333259610,2026-01-07T09:51:58.133259610,48.51,49.44,0.0,0.93
J2-O1,J2,M2,2026-01-07T06:32:31.660637611,2026-01-07T11:11:56.860637611,46.11,50.77,0.0,4.66
J47-O4,J47,M7,2026-01-07T13:37:55.733259611,2026-01-07T15:00:43.733259611,53.2,54.58,0.0,1.38
J49-O3,J49,M7,2026-01-07T15:00:43.733259611,2026-01-07T17:16:59.333259611,54.58,56.86,0.0,2.27
J54-O1,J54,M2,2026-01-07T11:11:56.860637611,2026-01-07T12:19:55.660637611,50.77,51.9,0.0,1.13
J40-O1,J40,M1,2026-01-07T07:43:48.533259610,2026-01-07T10:48:14.933259610,47.3,50.38,0.0,3.07
J54-O2,J54,M6,2026-01-07T12:19:55.660637611,2026-01-07T12:50:24.460637611,51.9,52.41,0.0,0.51
J40-O2,J40,M4,2026-01-07T10:48:14.933259610,2026-01-07T13:23:06.533259610,50.38,52.96,0.0,2.58
J26-O3,J26,M5,2026-01-07T10:03:54.533259610,2026-01-07T10:56:17.333259610,49.64,50.51,0.0,0.87
J8-O2,J8,M5,2026-01-07T10:56:17.333259610,2026-01-07T11:36:29.333259611,50.51,51.18,0.0,0.67
J8-O3,J8,M8,2026-01-07T22:14:55.668693611,2026-01-07T23:11:23.268693611,61.82,62.76,0.0,0.94
J18-O2,J18,M5,2026-01-07T11:36:29.333259611,2026-01-07T12:24:18.533259610,51.18,51.98,0.0,0.8
J12-O1,J12,M1,2026-01-07T10:48:14.933259610,2026-01-07T15:42:00.533259610,50.38,55.27,0.0,4.9
J40-O3,J40,M5,2026-01-07T13:23:06.533259610,2026-01-07T15:23:06.533259610,52.96,54.96,0.0,2.0
J26-O4,J26,M7,2026-01-07T17:16:59.333259611,2026-01-07T18:31:30.533259610,56.86,58.1,0.0,1.24
J40-O4,J40,M7,2026-01-07T18:31:30.533259610,2026-01-07T22:01:41.333259611,58.1,61.6,0.0,3.5
J12-O2,J12,M3,2026-01-07T15:42:00.533259610,2026-01-07T19:38:53.333259610,55.27,59.22,0.0,3.95
J57-O1,J57,M2,2026-01-07T12:19:55.660637611,2026-01-07T17:26:24.460637611,51.9,57.01,0.0,5.11
J12-O3,J12,M5,2026-01-07T19:38:53.333259610,2026-01-07T22:55:05.333259611,59.22,62.49,0.0,3.27
J12-O4,J12,M8,2026-01-07T23:11:23.268693611,2026-01-08T04:08:52.068693611,62.76,67.72,0.0,4.96
J28-O1,J28,M2,2026-01-07T17:26:24.460637611,2026-01-07T21:58:48.460637611,57.01,61.55,0.0,4.54
J2-O2,J2,M4,2026-01-07T13:23:06.533259610,2026-01-07T16:56:06.533259610,52.96,56.51,0.0,3.55
J29-O4,J29,M7,2026-01-07T22:01:41.333259611,2026-01-08T01:32:42.533259611,61.6,65.12,0.0,3.52
J2-O3,J2,M6,2026-01-07T16:56:06.533259610,2026-01-07T19:08:24.533259610,56.51,58.71,0.0,2.21
J2-O4,J2,M7,2026-01-08T01:32:42.533259611,2026-01-08T06:04:23.333259611,65.12,69.65,0.0,4.53
J25-O1,J25,M1,2026-01-07T15:42:00.533259610,2026-01-07T19:31:48.533259610,55.27,59.1,0.0,3.83
J28-O2,J28,M3,2026-01-07T21:58:48.460637611,2026-01-08T01:02:20.860637611,61.55,64.61,0.0,3.06
J57-O2,J57,M3,2026-01-08T01:02:20.860637611,2026-01-08T04:50:20.860637611,64.61,68.41,0.0,3.8
J9-O1,J9,M2,2026-01-07T21:58:48.460637611,2026-01-07T23:28:41.260637611,61.55,63.05,0.0,1.5
J28-O3,J28,M6,2026-01-08T01:02:20.860637611,2026-01-08T02:59:46.060637611,64.61,66.57,0.0,1.96
J54-O3,J54,M8,2026-01-08T04:08:52.068693611,2026-01-08T05:18:28.068693611,67.72,68.88,0.0,1.16
J28-O4,J28,M7,2026-01-08T06:04:23.333259611,2026-01-08T10:45:54.533259611,69.65,74.34,0.0,4.69
J25-O2,J25,M4,2026-01-07T19:31:48.533259610,2026-01-07T22:47:56.933259610,59.1,62.37,0.0,3.27
J9-O2,J9,M5,2026-01-07T23:28:41.260637611,2026-01-08T00:25:16.060637611,63.05,63.99,0.0,0.94
J9-O3,J9,M7,2026-01-08T10:45:54.533259611,2026-01-08T12:14:24.533259610,74.34,75.81,0.0,1.48
J60-O1,J60,M2,2026-01-07T23:28:41.260637611,2026-01-08T04:00:29.260637611,63.05,67.58,0.0,4.53
J41-O2,J41,M6,2026-01-08T02:59:46.060637611,2026-01-08T03:30:58.060637611,66.57,67.09,0.0,0.52
J41-O3,J41,M8,2026-01-08T05:18:28.068693611,2026-01-08T06:29:44.868693611,68.88,70.07,0.0,1.19
J10-O1,J10,M1,2026-01-07T19:31:48.533259610,2026-01-08T00:48:36.533259610,59.1,64.38,0.0,5.28
J25-O3,J25,M6,2026-01-08T03:30:58.060637611,2026-01-08T05:26:31.660637611,67.09,69.01,0.0,1.93
J10-O2,J10,M4,2026-01-08T00:48:36.533259610,2026-01-08T05:16:26.933259610,64.38,68.85,0.0,4.46
J10-O3,J10,M6,2026-01-08T05:26:31.660637611,2026-01-08T08:11:24.460637611,69.01,71.76,0.0,2.75
J10-O4,J10,M8,2026-01-08T08:11:24.460637611,2026-01-08T13:06:36.460637611,71.76,76.68,0.0,4.92
J55-O1,J55,M1,2026-01-08T00:48:36.533259610,2026-01-08T02:05:20.933259610,64.38,65.66,0.0,1.28
J55-O2,J55,M4,2026-01-08T05:16:26.933259610,2026-01-08T06:19:34.133259611,68.85,69.9,0.0,1.05
J60-O2,J60,M4,2026-01-08T06:19:34.133259611,2026-01-08T09:43:44.933259610,69.9,73.3,0.0,3.4
J59-O1,J59,M1,2026-01-08T02:05:20.933259610,2026-01-08T06:16:37.733259610,65.66,69.85,0.0,4.19
J59-O2,J59,M4,2026-01-08T09:43:44.933259610,2026-01-08T13:05:20.933259610,73.3,76.66,0.0,3.36
J60-O3,J60,M6,2026-01-08T09:43:44.933259610,2026-01-08T11:50:17.333259611,73.3,75.41,0.0,2.11
J60-O4,J60,M8,2026-01-08T13:06:36.460637611,2026-01-08T17:36:36.460637611,76.68,81.18,0.0,4.5
J18-O3,J18,M7,2026-01-08T12:14:24.533259610,2026-01-08T13:25:05.333259611,75.81,76.99,0.0,1.18
J55-O3,J55,M7,2026-01-08T13:25:05.333259611,2026-01-08T14:50:13.733259610,76.99,78.41,0.0,1.42
J38-O4,J38,M7,2026-01-08T14:50:13.733259610,2026-01-08T16:59:06.533259610,78.41,80.56,0.0,2.15
J4-O1,J4,M1,2026-01-08T06:16:37.733259610,2026-01-08T10:14:06.533259610,69.85,73.81,0.0,3.96
J59-O3,J59,M6,2026-01-08T13:05:20.933259610,2026-01-08T15:10:30.533259611,76.66,78.75,0.0,2.09
J46-O1,J46,M1,2026-01-08T10:14:06.533259610,2026-01-08T15:12:07.733259610,73.81,78.77,0.0,4.97
J57-O3,J57,M6,2026-01-08T15:10:30.533259611,2026-01-08T17:35:31.733259611,78.75,81.16,0.0,2.42
J46-O2,J46,M3,2026-01-08T15:12:07.733259610,2026-01-08T18:50:35.333259610,78.77,82.42,0.0,3.64
J46-O3,J46,M5,2026-01-08T18:50:35.333259610,2026-01-08T21:50:53.333259610,82.42,85.42,0.0,3.0
J46-O4,J46,M7,2026-01-08T21:50:53.333259610,2026-01-09T02:38:42.533259610,85.42,90.22,0.0,4.8
J57-O4,J57,M8,2026-01-08T17:36:36.460637611,2026-01-08T22:52:19.660637611,81.18,86.44,0.0,5.26
J4-O2,J4,M4,2026-01-08T13:05:20.933259610,2026-01-08T16:26:24.533259611,76.66,80.01,0.0,3.35
J4-O3,J4,M5,2026-01-08T21:50:53.333259610,2026-01-09T00:23:06.533259610,85.42,87.96,0.0,2.54
J4-O4,J4,M8,2026-01-09T00:23:06.533259610,2026-01-09T05:02:31.733259610,87.96,92.61,0.0,4.66
J52-O1,J52,M2,2026-01-08T04:00:29.260637611,2026-01-08T05:08:24.460637611,67.58,68.71,0.0,1.13
J52-O2,J52,M5,2026-01-09T00:23:06.533259610,2026-01-09T01:11:24.533259611,87.96,88.76,0.0,0.81
J52-O3,J52,M7,2026-01-09T02:38:42.533259610,2026-01-09T03:48:50.933259610,90.22,91.39,0.0,1.17
J43-O1,J43,M2,2026-01-08T05:08:24.460637611,2026-01-08T08:02:42.460637611,68.71,71.62,0.0,2.9
J43-O2,J43,M4,2026-01-08T16:26:24.533259611,2026-01-08T18:32:46.133259611,80.01,82.12,0.0,2.11
J43-O3,J43,M6,2026-01-08T18:32:46.133259611,2026-01-08T19:48:22.133259611,82.12,83.38,0.0,1.26
